score
84.0
92.0
74.0
93.0
34.0
95.0
5.0
82.0
100.0
84.0
74.0
40.0
82.0
65.0
80.0
46.0
19.0
88.0
29.0
88.0
59.0
76.0
37.0
96.0
82.0
90.0
23.0
24.0
31.0
89.0
59.0
2.0
5.0
68.0
68.0
17.0
81.0
100.0
1.0
18.0
59.0
61.0
3.0
36.0
19.0
99.0
92.0
40.0
30.0
100.0
94.0
93.0
3.0
71.0
50.0
65.0
30.0
66.0
71.0
27.0
75.0
84.0
8.0
9.0
69.0
87.0
65.0
18.0
55.0
99.0
86.0
78.0
40.0
32.0
59.0
94.0
86.0
75.0
68.0
96.0
4.0
71.0
39.0
95.0
95.0
76.0
22.0
100.0
70.0
21.0
16.0
23.0
52.0
1.0
30.0
58.0
30.0
81.0
87.0
92.0
93.0
37.0
11.0
31.0
10.0
22.0
86.0
57.0
74.0
84.0
64.0
93.0
90.0
19.0
64.0
50.0
99.0
9.0
8.0
55.0
5.0
68.0
34.0
16.0
97.0
87.0
79.0
63.0
95.0
79.0
42.0
98.0
100.0
100.0
100.0
61.0
65.0
76.0
91.0
69.0
62.0
1.0
36.0
80.0
98.0
74.0
95.0
100.0
86.0
32.0
81.0
27.0
79.0
18.0
70.0
38.0
54.0
42.0
100.0
12.0
51.0
59.0
1.0
83.0
79.0
66.0
51.0
93.0
88.0
100.0
75.0
50.0
57.0
22.0
26.0
31.0
48.0
39.0
2.0
12.0
50.0
78.0
100.0
47.0
82.0
90.0
48.0
60.0
4.0
71.0
68.0
90.0
95.0
9.0
96.0
57.0
80.0
94.0
1.0
56.0
28.0
91.0
68.0
66.0
54.0
58.0
96.0
91.0
20.0
97.0
59.0
73.0
89.0
77.0
65.0
100.0
10.0
99.0
8.0
96.0
20.0
78.0
71.0
89.0
20.0
100.0
95.0
58.0
90.0
100.0
97.0
91.0
28.0
37.0
86.0
40.0
78.0
75.0
91.0
68.0
81.0
64.0
66.0
5.0
72.0
76.0
70.0
13.0
46.0
67.0
33.0
50.0
55.0
94.0
25.0
61.0
62.0
83.0
25.0
51.0
48.0
20.0
48.0
59.0
85.0
1.0
92.0
68.0
99.0
58.0
32.0
38.0
61.0
78.0
99.0
70.0
63.0
99.0
78.0
44.0
39.0
79.0
48.0
100.0
31.0
7.0
17.0
48.0
98.0
78.0
79.0
55.0
44.0
49.0
58.0
55.0
74.0
20.0
80.0
28.0
88.0
46.0
66.0
66.0
64.0
80.0
99.0
1.0
77.0
41.0
67.0
100.0
22.0
79.0
89.0
75.0
68.0
41.0
10.0
65.0
19.0
43.0
64.0
60.0
39.0
97.0
98.0
23.0
66.0
91.0
84.0
54.0
83.0
71.0
100.0
74.0
17.0
85.0
1.0
6.0
85.0
95.0
17.0
100.0
100.0
15.0
75.0
53.0
76.0
51.0
48.0
79.0
69.0
35.0
71.0
27.0
87.0
82.0
79.0
84.0
60.0
9.0
35.0
80.0
100.0
9.0
77.0
58.0
33.0
9.0
19.0
46.0
49.0
25.0
41.0
28.0
90.0
59.0
23.0
95.0
55.0
64.0
75.0
13.0
87.0
92.0
76.0
55.0
8.0
100.0
17.0
100.0
55.0
13.0
80.0
99.0
62.0
82.0
100.0
71.0
66.0
48.0
61.0
71.0
79.0
70.0
61.0
20.0
83.0
100.0
65.0
72.0
52.0
80.0
64.0
59.0
100.0
78.0
41.0
88.0
80.0
73.0
72.0
65.0
82.0
32.0
90.0
77.0
3.0
100.0
94.0
79.0
69.0
5.0
9.0
92.0
76.0
45.0
69.0
60.0
64.0
62.0
27.0
92.0
100.0
66.0
33.0
68.0
83.0
70.0
42.0
66.0
68.0
71.0
45.0
88.0
82.0
90.0
79.0
31.0
5.0
90.0
1.0
68.0
77.0
33.0
60.0
77.0
27.0
80.0
80.0
82.0
100.0
35.0
28.0
66.0
40.0
53.0
28.0
31.0
94.0
95.0
85.0
41.0
61.0
65.0
10.0
86.0
26.0
77.0
48.0
100.0
76.0
37.0
98.0
20.0
58.0
10.0
70.0
68.0
63.0
100.0
30.0
97.0
25.0
12.0
80.0
59.0
61.0
59.0
87.0
37.0
57.0
67.0
74.0
13.0
44.0
50.0
97.0
47.0
82.0
66.0
55.0
91.0
92.0
68.0
61.0
64.0
86.0
67.0
1.0
100.0
45.0
66.0
62.0
57.0
49.0
19.0
44.0
52.0
75.0
21.0
46.0
100.0
84.0
3.0
